,Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_thane,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios
0,Dealer,550000,58449,2012,Etios,Maroon,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,Dealer,1325000,54468,2014,Innova,Maroon,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,Dealer,1300000,51174,2014,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
6,Dealer,2000000,44288,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,Dealer,1450000,44416,2015,Corolla Altis,Grey,Petrol,Automatic,Chennai,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,Dealer,400000,70000,2006,Corolla,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,Dealer,2400000,38052,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,Dealer,1750000,85935,2013,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,Dealer,1750000,106204,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,Dealer,1050000,131184,2011,Innova,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,Dealer,1950000,54903,2012,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
14,Dealer,1550000,120274,2012,Fortuner,White,Diesel,Automatic,Chennai,2,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,Dealer,1600000,73972,2015,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,Dealer,1000000,159000,2002,Land Cruiser,Silver,Diesel,Automatic,Chennai,3,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,Dealer,1250000,90859,2013,Innova,Blue,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
18,Dealer,1500000,52000,2014,Innova,Silver,Diesel,Manual,Chennai,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19,Dealer,575000,16000,2015,Etios,Grey,Petrol,Manual,Chennai,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,Dealer,550000,73236,2012,Etios,Red,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
21,Dealer,330000,60129,2011,Etios Liva,Black,Petrol,Manual,Chennai,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
22,Dealer,525000,76176,2009,Corolla Altis,White,Petrol,Automatic,Chennai,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,Dealer,1500000,41793,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
28,Dealer,1425000,53083,2013,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,Dealer,330000,101911,2008,Corolla Altis,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,Dealer,1525000,57497,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31,Dealer,2450000,34038,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32,Dealer,2250000,44143,2014,Fortuner,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
33,Dealer,1520000,57000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,Dealer,1900000,69267,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35,Dealer,1475000,80936,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36,Dealer,1220000,87781,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,Dealer,725000,139297,2010,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
38,Dealer,1425000,109660,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,Dealer,650000,150000,2006,Innova,Gold,Diesel,Manual,Chennai,2,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,Dealer,1525000,54482,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,Dealer,1749999,130000,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42,Dealer,1300000,8000,2012,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
43,Dealer,1375000,38000,2015,Corolla Altis,White,Petrol,Automatic,Chennai,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,Dealer,350000,63000,2011,Etios Liva,Blue,Diesel,Manual,Chennai,2,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
45,Dealer,975000,95230,2009,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
46,Dealer,1375000,110000,2011,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,Dealer,790000,42593,2013,Corolla Altis,Gold,Diesel,Manual,Chennai,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
51,Dealer,1375000,63000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
52,Dealer,1100000,119000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
53,Dealer,1075000,160464,2011,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
54,Dealer,810000,157000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
55,Dealer,1150000,205439,2011,Fortuner,Black,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
56,Dealer,1325000,554477,2014,Innova,Red,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
57,Dealer,1100000,119000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
58,Dealer,1210000,118911,2010,Fortuner,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
59,Dealer,810000,157000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,Dealer,1595000,13937,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
61,Dealer,1525000,38875,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
62,Dealer,1175000,53000,2012,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
63,Dealer,1295000,63000,2010,Fortuner,Silver,Diesel,Manual,Chennai,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
64,Dealer,515000,74295,2011,Etios,Blue,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
65,Dealer,2550000,31218,2015,Fortuner,Silver,Diesel,Automatic,Chennai,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
66,Dealer,675000,137031,2007,Innova,Maroon,Diesel,Manual,Chennai,2,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
67,Dealer,950000,150609,2010,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
68,Dealer,225000,80000,2006,Corolla,Black,Petrol,Automatic,Chennai,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
69,Dealer,670000,120221,2008,Innova,Green,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
70,Dealer,2200000,73000,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,Dealer,690000,190000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
77,Dealer,670000,190785,2008,Innova,Green,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
78,Dealer,1275000,183000,2013,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
79,Dealer,750000,175000,2008,Innova,Black,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
80,Dealer,625000,50000,2015,Etios,Silver,Diesel,Manual,Chennai,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
81,Dealer,510000,80000,2011,Etios,Silver,Diesel,Manual,Chennai,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
82,Dealer,1300000,80000,2012,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
83,Dealer,2300000,87398,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
84,Dealer,1400000,119000,2011,Fortuner,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
85,Dealer,365000,118000,2011,Etios,Black,Petrol,Manual,Chennai,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
86,Dealer,550000,215000,2006,Innova,Gold,Petrol,Manual,Chennai,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
87,Dealer,515000,38000,2013,Etios Liva,Blue,Diesel,Manual,Chennai,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
88,Dealer,465000,38000,2013,Etios Liva,Blue,Diesel,Manual,Chennai,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
89,Dealer,775000,26883,2017,Etios,White,Diesel,Manual,Chennai,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
90,Dealer,675000,57698,2009,Corolla Altis,Silver,Diesel,Manual,Chennai,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
91,Dealer,240000,85000,2006,Corolla,Black,Petrol,Manual,Chennai,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
92,Dealer,475000,81000,2012,Corolla Altis,Grey,Petrol,Manual,Chennai,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
93,Dealer,1640000,35296,2015,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
94,Dealer,375000,94000,2008,Corolla,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
95,Dealer,210000,74000,2004,Corolla,Gold,Petrol,Automatic,Chennai,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
100,Dealer,1240000,75000,2011,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
101,Dealer,675000,90000,2005,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
102,Dealer,550000,16000,2015,Etios,Grey,Petrol,Manual,Chennai,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,Dealer,325000,100000,2003,Qualis,Silver,Diesel,Manual,Chennai,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
104,Dealer,1699999,66200,2012,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
105,Dealer,1275000,92000,2012,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106,Dealer,1175000,116526,2012,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
107,Dealer,1300000,18000,2012,Innova,Gold,Petrol,Manual,Chennai,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
108,Dealer,1175000,94000,2012,Innova,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
109,Dealer,625000,52000,2015,Etios,Silver,Diesel,Manual,Chennai,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
110,Dealer,575000,52000,2009,Corolla Altis,Maroon,Petrol,Automatic,Chennai,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
111,Dealer,1225000,112000,2012,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112,Dealer,325000,100000,2005,Camry,Silver,Petrol,Manual,Chennai,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
113,Dealer,1050000,130000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114,Dealer,749000,151382,2009,Innova,Blue,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
115,Dealer,2200000,87315,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
116,Dealer,975000,150000,2010,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
117,Dealer,275000,120000,2000,Qualis,Silver,Diesel,Manual,Chennai,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
118,Dealer,575000,120000,2007,Innova,Gold,Diesel,Manual,Chennai,2,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
119,Dealer,1350000,120000,2013,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
125,Dealer,1130000,120000,2011,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
126,Dealer,925000,179000,2011,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
127,Dealer,1250000,250000,2011,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
128,Dealer,450000,39000,2012,Etios,Silver,Petrol,Manual,Chennai,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
129,Dealer,1345000,40000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
130,Dealer,590000,71500,2013,Etios,Grey,Diesel,Manual,Chennai,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
131,Dealer,1490000,119000,2011,Fortuner,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
132,Dealer,685000,220000,2008,Innova,Black,Diesel,Manual,Chennai,2,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
133,Individual,465000,33000,2013,Etios,Celestial Black,Petrol,Manual,Chennai,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
134,Individual,590000,52000,2016,Etios Liva,Vermilion Red,Diesel,Manual,Chennai,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
135,Individual,540000,65300,2012,Etios,Vermilion  Red,Diesel,Manual,Chennai,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
136,Individual,1550000,27000,2016,Innova,Silver,Diesel,Manual,Chennai,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
137,Individual,1500000,42100,2013,Innova,Silky Gold,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
138,Individual,1100000,50364,2008,Innova,Gold,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
139,Individual,428000,76000,2012,Etios Liva,Ultramarine Blue,Diesel,Manual,Chennai,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
140,Individual,1800000,55000,2013,Fortuner,,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
141,Individual,950020,83000,2010,Fortuner,White,Diesel,Manual,Chennai,3,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
142,Individual,1000000,95000,2013,Corolla Altis,White,Diesel,Manual,Chennai,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
143,Individual,695000,145000,2008,Innova,Beige,Diesel,Manual,Chennai,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
144,Individual,725000,162000,2009,Innova,,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
145,Individual,1800000,125000,2013,Fortuner,Chennai,Diesel,Automatic,Chennai,1,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
146,Individual,725000,163393,2009,Innova,,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
147,Individual,425000,220000,2000,Qualis,Red,Diesel,Manual,Chennai,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
148,Dealer,775000,33839,2013,Corolla Altis,Silver,Petrol,Manual,Chennai,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
149,Dealer,435000,78526,2012,Etios Liva,Beize,Diesel,Manual,Chennai,2,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
150,Dealer,2500000,32596,2015,Fortuner,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
151,Dealer,600000,140090,2005,Innova,Blue,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
152,Dealer,1400000,112320,2013,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
153,Dealer,350000,78000,2007,Corolla,Silver,Petrol,Automatic,Chennai,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
154,Dealer,1325000,52000,2014,Innova,Maroon,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
155,Dealer,515000,38000,2013,Etios Liva,Blue,Diesel,Manual,Chennai,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
156,Dealer,2400000,31000,2014,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
157,Dealer,500000,90298,2010,Corolla Altis,Silver,Petrol,Manual,Chennai,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
158,Dealer,375000,64000,2011,Etios,Silver,Petrol,Manual,Chennai,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
159,Individual,400000,17000,2011,Etios,,Petrol,Manual,Chennai,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
160,Individual,550000,15204,2013,Etios Liva,Symphony Silver,Petrol,Manual,Chennai,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
161,Individual,600000,53000,2012,Etios,Vermilion Red,Diesel,Manual,Chennai,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
162,Individual,550000,53000,2012,Etios,Vermilion Red,Diesel,Manual,Chennai,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
163,Individual,590000,53000,2016,Etios Liva,Vermilion Red,Diesel,Manual,Chennai,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
164,Individual,1600000,25600,2015,Innova,Silky Gold Mica Metallic,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
165,Individual,1800000,30000,2016,Innova,Grey Mica Metallic,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
166,Individual,1300000,43000,2014,Innova,Silky Gold Mica Metallic,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
167,Individual,398000,76500,2012,Etios Liva,Ultramarine Blue,Diesel,Manual,Chennai,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
172,Individual,1200000,61000,2012,Innova,Sand Gold,Diesel,Manual,Chennai,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
173,Individual,1125000,64000,2014,Innova,Black,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
174,Individual,700000,80000,2012,Innova,,Petrol,Manual,Chennai,2,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
175,Individual,240000,94000,2007,Corolla,White,Petrol,Automatic,Chennai,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
176,Individual,400000,88000,2013,Etios Liva,,Diesel,Manual,Chennai,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
177,Individual,800000,80000,2011,Innova,,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
178,Individual,2200000,32500,2013,Fortuner,White Pearl,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
179,Individual,525000,83500,2009,Corolla Altis,Silver Mica Metallic,Petrol,Automatic,Chennai,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
180,Individual,650000,97200,2007,Innova,Black Mica,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
181,Individual,1050000,80000,2011,Innova,Grey Mica Metallic,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
182,Individual,200000,110000,2003,Corona,Silver,Petrol,Manual,Chennai,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
183,Individual,1907000,62000,2015,Fortuner,,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
184,Individual,695000,105000,2007,Innova,Black Mica,Diesel,Manual,Chennai,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
185,Individual,1050000,87000,2010,Innova,Grey Mica Metallic,Diesel,Manual,Chennai,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
186,Individual,950000,98650,2013,Innova,White,Petrol,Manual,Chennai,2,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
187,Individual,950000,98652,2013,Innova,White,Petrol,Manual,Chennai,2,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
188,Individual,1050000,105000,2013,Innova,White,Diesel,Manual,Chennai,1,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
