Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_thane,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios,label
Dealer,550000,73236,2012,Etios,Red,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,24
Dealer,330000,60129,2011,Etios Liva,Black,Petrol,Manual,Chennai,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,27
Dealer,525000,76176,2009,Corolla Altis,White,Petrol,Automatic,Chennai,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dealer,1500000,41793,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23
Dealer,1425000,53083,2013,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Dealer,330000,101911,2008,Corolla Altis,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dealer,1525000,57497,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Dealer,2450000,34038,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,2250000,44143,2014,Fortuner,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10
Dealer,1520000,57000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17
Dealer,1900000,69267,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1475000,80936,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17
Dealer,1220000,87781,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23
Dealer,725000,139297,2010,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17
Dealer,1425000,109660,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Dealer,650000,150000,2006,Innova,Gold,Diesel,Manual,Chennai,2,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dealer,1525000,54482,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Dealer,1749999,130000,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1300000,8000,2012,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17
Dealer,1375000,38000,2015,Corolla Altis,White,Petrol,Automatic,Chennai,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8
Dealer,350000,63000,2011,Etios Liva,Blue,Diesel,Manual,Chennai,2,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,27
Dealer,975000,95230,2009,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4
Dealer,1375000,110000,2011,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,790000,42593,2013,Corolla Altis,Gold,Diesel,Manual,Chennai,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18
Dealer,1375000,63000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Dealer,1100000,119000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23
Dealer,1075000,160464,2011,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,7
Dealer,810000,157000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
